name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1
Aluno 1,positive,1.4285714285714286,85.71428571428571,0.0,0.0,14.285714285714285,85.71428571428571,57.14285714285714,0.0,0.0,0.0,0.0,0.0,85.71428571428571,38.095238095238095,45.94594594594595,24.324324324324326,21.62162162162162,0,9
Aluno 10,positive,0.861904761904762,90.47619047619048,4.761904761904762,0.0,4.761904761904762,95.23809523809523,66.66666666666666,0.0,0.0,0.0,0.0,0.0,80.95238095238095,38.095238095238095,16.216216216216218,8.108108108108109,8.108108108108109,0,3
Aluno 11,positive,0.7047619047619048,90.47619047619048,0.0,4.761904761904762,4.761904761904762,90.47619047619048,61.904761904761905,0.0,0.0,0.0,0.0,0.0,80.95238095238095,38.095238095238095,10.81081081081081,8.108108108108109,2.7027027027027026,0,3
Aluno 12,negative,4.9904761904761905,42.857142857142854,9.523809523809524,4.761904761904762,42.857142857142854,52.38095238095239,19.047619047619047,0.0,0.0,0.0,0.0,4.761904761904762,38.095238095238095,33.33333333333333,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 13,negative,5.957142857142857,38.095238095238095,0.0,4.761904761904762,57.14285714285714,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 14,negative,3.880952380952381,57.14285714285714,0.0,14.285714285714285,28.57142857142857,57.14285714285714,33.33333333333333,0.0,0.0,0.0,0.0,4.761904761904762,52.38095238095239,33.33333333333333,5.405405405405405,2.7027027027027026,2.7027027027027026,0,1
Aluno 15,negative,5.747619047619048,38.095238095238095,0.0,4.761904761904762,57.14285714285714,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,5.405405405405405,5.405405405405405,0.0,0,2
Aluno 16,positive,3.395238095238095,61.904761904761905,4.761904761904762,4.761904761904762,28.57142857142857,66.66666666666666,38.095238095238095,0.0,0.0,0.0,0.0,0.0,57.14285714285714,38.095238095238095,16.216216216216218,13.513513513513514,2.7027027027027026,0,5
Aluno 17,negative,6.023809523809524,38.095238095238095,0.0,4.761904761904762,57.14285714285714,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 18,negative,1.4904761904761905,76.19047619047619,9.523809523809524,9.523809523809524,4.761904761904762,85.71428571428571,57.14285714285714,0.0,0.0,0.0,0.0,0.0,76.19047619047619,38.095238095238095,16.216216216216218,10.81081081081081,5.405405405405405,0,4
Aluno 19,negative,1.9952380952380953,71.42857142857143,14.285714285714285,0.0,14.285714285714285,85.71428571428571,57.14285714285714,0.0,0.0,0.0,0.0,0.0,66.66666666666666,38.095238095238095,18.91891891891892,13.513513513513514,5.405405405405405,0,5
Aluno 2,negative,1.1238095238095238,85.71428571428571,4.761904761904762,4.761904761904762,4.761904761904762,90.47619047619048,61.904761904761905,0.0,0.0,0.0,0.0,0.0,76.19047619047619,38.095238095238095,16.216216216216218,8.108108108108109,8.108108108108109,0,3
Aluno 20,positive,1.4285714285714286,85.71428571428571,0.0,0.0,14.285714285714285,85.71428571428571,57.14285714285714,0.0,0.0,0.0,0.0,0.0,85.71428571428571,38.095238095238095,8.108108108108109,5.405405405405405,2.7027027027027026,0,2
Aluno 21,negative,5.980952380952381,38.095238095238095,0.0,0.0,61.904761904761905,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,0.0,0.0,0.0,0,0
