name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1
Aluno 1,positive,1.3333333333333333,86.66666666666667,0.0,0.0,13.333333333333334,86.66666666666667,53.333333333333336,0.0,0.0,0.0,0.0,0.0,86.66666666666667,40.0,59.25925925925925,29.629629629629626,29.629629629629626,0,8
Aluno 10,positive,0.8733333333333333,93.33333333333333,0.0,0.0,6.666666666666667,93.33333333333333,60.0,0.0,0.0,0.0,0.0,0.0,80.0,40.0,18.51851851851852,7.4074074074074066,11.11111111111111,0,1
Aluno 11,positive,0.38666666666666666,93.33333333333333,0.0,6.666666666666667,0.0,93.33333333333333,60.0,0.0,0.0,0.0,0.0,0.0,80.0,40.0,11.11111111111111,7.4074074074074066,3.7037037037037033,0,1
Aluno 12,negative,4.386666666666667,46.666666666666664,13.333333333333334,6.666666666666667,33.33333333333333,60.0,20.0,0.0,0.0,0.0,0.0,6.666666666666667,40.0,33.33333333333333,3.7037037037037033,3.7037037037037033,0.0,0,1
Aluno 13,negative,5.873333333333333,40.0,0.0,0.0,60.0,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,3.7037037037037033,3.7037037037037033,0.0,0,1
Aluno 14,negative,3.433333333333333,60.0,0.0,20.0,20.0,60.0,33.33333333333333,0.0,0.0,0.0,0.0,6.666666666666667,53.333333333333336,33.33333333333333,7.4074074074074066,3.7037037037037033,3.7037037037037033,0,1
Aluno 15,negative,5.513333333333334,40.0,0.0,6.666666666666667,53.333333333333336,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,7.4074074074074066,7.4074074074074066,0.0,0,2
Aluno 16,positive,2.953333333333333,66.66666666666666,6.666666666666667,0.0,26.666666666666668,73.33333333333333,40.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,18.51851851851852,14.814814814814813,3.7037037037037033,0,3
Aluno 17,negative,5.966666666666667,40.0,0.0,0.0,60.0,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,3.7037037037037033,3.7037037037037033,0.0,0,1
Aluno 18,negative,1.4200000000000002,73.33333333333333,13.333333333333334,13.333333333333334,0.0,86.66666666666667,53.333333333333336,0.0,0.0,0.0,0.0,0.0,73.33333333333333,40.0,22.22222222222222,14.814814814814813,7.4074074074074066,0,3
Aluno 19,negative,1.8599999999999999,73.33333333333333,13.333333333333334,0.0,13.333333333333334,86.66666666666667,53.333333333333336,0.0,0.0,0.0,0.0,0.0,66.66666666666666,40.0,22.22222222222222,14.814814814814813,7.4074074074074066,0,3
Aluno 2,negative,1.24,86.66666666666667,0.0,6.666666666666667,6.666666666666667,86.66666666666667,53.333333333333336,0.0,0.0,0.0,0.0,0.0,73.33333333333333,40.0,18.51851851851852,7.4074074074074066,11.11111111111111,0,2
Aluno 20,positive,1.3333333333333333,86.66666666666667,0.0,0.0,13.333333333333334,86.66666666666667,53.333333333333336,0.0,0.0,0.0,0.0,0.0,86.66666666666667,40.0,7.4074074074074066,3.7037037037037033,3.7037037037037033,0,0
Aluno 21,negative,5.84,40.0,0.0,0.0,60.0,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0,0
Aluno 22,negative,5.2733333333333325,40.0,0.0,20.0,40.0,40.0,6.666666666666667,0.0,0.0,0.0,0.0,6.666666666666667,40.0,33.33333333333333,7.4074074074074066,3.7037037037037033,3.7037037037037033,0,1
Aluno 23,negative,3.1199999999999997,60.0,13.333333333333334,6.666666666666667,20.0,73.33333333333333,40.0,0.0,0.0,0.0,0.0,0.0,53.333333333333336,40.0,7.4074074074074066,7.4074074074074066,0.0,0,1
Aluno 24,negative,2.893333333333333,60.0,13.333333333333334,6.666666666666667,20.0,73.33333333333333,40.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,11.11111111111111,7.4074074074074066,3.7037037037037033,0,2
Aluno 25,negative,5.553333333333333,40.0,0.0,13.333333333333334,46.666666666666664,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,11.11111111111111,11.11111111111111,0.0,0,3
Aluno 26,negative,5.493333333333334,40.0,0.0,13.333333333333334,46.666666666666664,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,11.11111111111111,7.4074074074074066,3.7037037037037033,0,2
Aluno 27,negative,5.54,40.0,0.0,13.333333333333334,46.666666666666664,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,7.4074074074074066,7.4074074074074066,0.0,0,2
Aluno 28,negative,5.4399999999999995,40.0,0.0,13.333333333333334,46.666666666666664,40.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,40.0,40.0,3.7037037037037033,3.7037037037037033,0.0,0,1
Aluno 29,negative,1.4933333333333332,80.0,6.666666666666667,6.666666666666667,6.666666666666667,86.66666666666667,53.333333333333336,0.0,0.0,0.0,0.0,0.0,73.33333333333333,40.0,14.814814814814813,11.11111111111111,3.7037037037037033,0,2
Aluno 3,negative,2.753333333333333,66.66666666666666,6.666666666666667,6.666666666666667,20.0,73.33333333333333,40.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,40.0,3.7037037037037033,3.7037037037037033,0.0,0,0
Aluno 30,positive,0.7666666666666667,93.33333333333333,0.0,0.0,6.666666666666667,93.33333333333333,60.0,0.0,0.0,0.0,0.0,0.0,86.66666666666667,40.0,18.51851851851852,11.11111111111111,7.4074074074074066,0,2
