name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3
1,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,18.181818181818183,0.0,0.0,0.0,0,0,0,0
10,negative,9.89090909090909,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
11,positive,3.0090909090909093,63.63636363636363,9.090909090909092,9.090909090909092,18.181818181818183,72.72727272727273,72.72727272727273,0.0,0.0,0.0,0.0,0.0,54.54545454545454,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,0,1,0
12,negative,6.836363636363637,9.090909090909092,27.27272727272727,18.181818181818183,45.45454545454545,36.36363636363637,36.36363636363637,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,0,0,0
13,negative,8.181818181818182,18.181818181818183,0.0,0.0,81.81818181818183,18.181818181818183,18.181818181818183,0.0,0.0,0.0,0.0,0.0,18.181818181818183,18.181818181818183,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
14,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,18.181818181818183,76.92307692307693,76.92307692307693,0.0,0,0,0,0
15,negative,5.263636363636365,36.36363636363637,9.090909090909092,9.090909090909092,45.45454545454545,45.45454545454545,45.45454545454545,0.0,0.0,0.0,0.0,18.181818181818183,36.36363636363637,0.0,0.0,0.0,0.0,0,0,0,0
16,negative,6.009090909090909,36.36363636363637,0.0,0.0,63.63636363636363,36.36363636363637,36.36363636363637,0.0,0.0,0.0,0.0,0.0,27.27272727272727,18.181818181818183,0.0,0.0,0.0,0,0,0,0
17,negative,8.272727272727273,9.090909090909092,0.0,27.27272727272727,63.63636363636363,9.090909090909092,18.181818181818183,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,0,0,0
18,positive,3.590909090909091,63.63636363636363,0.0,0.0,36.36363636363637,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,63.63636363636363,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,2,0,0
19,negative,3.9181818181818184,54.54545454545454,0.0,18.181818181818183,27.27272727272727,54.54545454545454,63.63636363636363,0.0,0.0,0.0,0.0,18.181818181818183,36.36363636363637,0.0,7.6923076923076925,7.6923076923076925,0.0,0,0,0,0
2,negative,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,30.76923076923077,30.76923076923077,0.0,1,0,0,1
20,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,18.181818181818183,76.92307692307693,76.92307692307693,0.0,0,0,0,0
21,positive,3.5454545454545454,63.63636363636363,0.0,0.0,36.36363636363637,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,63.63636363636363,18.181818181818183,0.0,0.0,0.0,0,0,0,0
22,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,18.181818181818183,76.92307692307693,76.92307692307693,0.0,0,0,0,0
23,negative,8.772727272727273,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,9.090909090909092,0.0,0.0,0.0,0.0,18.181818181818183,9.090909090909092,0.0,15.384615384615385,15.384615384615385,0.0,0,2,0,0
24,positive,1.6090909090909091,81.81818181818183,0.0,0.0,18.181818181818183,81.81818181818183,81.81818181818183,0.0,0.0,0.0,0.0,0.0,81.81818181818183,18.181818181818183,7.6923076923076925,7.6923076923076925,0.0,0,0,0,0
25,negative,5.8090909090909095,36.36363636363637,0.0,9.090909090909092,54.54545454545454,36.36363636363637,36.36363636363637,0.0,0.0,0.0,0.0,0.0,36.36363636363637,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,1,0,0
26,negative,9.463636363636365,0.0,0.0,9.090909090909092,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
27,negative,5.672727272727273,36.36363636363637,9.090909090909092,0.0,54.54545454545454,45.45454545454545,45.45454545454545,0.0,0.0,0.0,0.0,0.0,36.36363636363637,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,1,0,0
28,negative,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,2,0,0
29,negative,9.845454545454546,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,23.076923076923077,23.076923076923077,0.0,0,2,0,0
3,negative,8.090909090909092,9.090909090909092,0.0,18.181818181818183,72.72727272727273,9.090909090909092,18.181818181818183,0.0,0.0,0.0,0.0,18.181818181818183,9.090909090909092,0.0,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
30,negative,6.690909090909091,27.27272727272727,0.0,9.090909090909092,63.63636363636363,27.27272727272727,27.27272727272727,0.0,0.0,0.0,0.0,0.0,18.181818181818183,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,2,0,0
31,positive,0.9090909090909091,90.9090909090909,0.0,0.0,9.090909090909092,90.9090909090909,90.9090909090909,0.0,0.0,0.0,0.0,0.0,90.9090909090909,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,1,0,0
32,negative,9.881818181818183,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0,0,0,0
