name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3,sequencial_missing_6,sequencial_missing_9,sequencial_missing_12
1,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,0.0,0.0,0.0,0,0,0,0,0,0,0
10,negative,9.48235294117647,0.0,5.88235294117647,0.0,94.11764705882352,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,10.526315789473683,10.526315789473683,0.0,0,2,0,0,0,0,0
11,positive,1.552941176470588,82.35294117647058,5.88235294117647,0.0,11.76470588235294,88.23529411764706,88.23529411764706,0.0,0.0,0.0,0.0,0.0,70.58823529411765,5.88235294117647,21.052631578947366,21.052631578947366,0.0,0,0,1,0,0,0,0
12,negative,6.235294117647059,23.52941176470588,17.647058823529413,11.76470588235294,47.05882352941176,41.17647058823529,41.17647058823529,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,21.052631578947366,21.052631578947366,0.0,0,2,1,0,0,0,0
13,negative,8.952941176470588,5.88235294117647,5.88235294117647,0.0,88.23529411764706,11.76470588235294,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,10.526315789473683,10.526315789473683,0.0,0,2,0,0,0,0,0
14,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,78.94736842105263,78.94736842105263,0.0,1,0,0,0,0,0,1
15,negative,3.9823529411764698,47.05882352941176,17.647058823529413,5.88235294117647,29.411764705882355,64.70588235294117,52.94117647058824,0.0,0.0,0.0,0.0,5.88235294117647,41.17647058823529,0.0,21.052631578947366,21.052631578947366,0.0,0,1,0,0,0,0,0
16,negative,6.852941176470588,29.411764705882355,0.0,0.0,70.58823529411765,29.411764705882355,29.411764705882355,0.0,0.0,0.0,0.0,0.0,11.76470588235294,5.88235294117647,10.526315789473683,10.526315789473683,0.0,0,1,0,0,0,0,0
17,negative,8.005882352941176,17.647058823529413,0.0,11.76470588235294,70.58823529411765,17.647058823529413,11.76470588235294,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,10.526315789473683,10.526315789473683,0.0,0,2,0,0,0,0,0
18,positive,2.9411764705882355,70.58823529411765,0.0,0.0,29.411764705882355,70.58823529411765,70.58823529411765,0.0,0.0,0.0,0.0,0.0,70.58823529411765,5.88235294117647,21.052631578947366,21.052631578947366,0.0,0,2,1,0,0,0,0
19,negative,5.311764705882354,35.294117647058826,11.76470588235294,17.647058823529413,35.294117647058826,47.05882352941176,52.94117647058824,0.0,0.0,0.0,0.0,5.88235294117647,17.647058823529413,0.0,21.052631578947366,21.052631578947366,0.0,0,2,0,0,0,0,0
2,negative,9.658823529411764,0.0,5.88235294117647,0.0,94.11764705882352,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,47.368421052631575,47.368421052631575,0.0,2,0,0,2,0,0,0
20,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,78.94736842105263,78.94736842105263,0.0,1,0,0,0,0,0,1
21,positive,3.488235294117647,64.70588235294117,0.0,0.0,35.294117647058826,64.70588235294117,64.70588235294117,0.0,0.0,0.0,0.0,0.0,58.82352941176471,5.88235294117647,15.789473684210526,15.789473684210526,0.0,0,0,0,0,0,0,0
22,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,78.94736842105263,78.94736842105263,0.0,1,0,0,0,0,0,1
23,negative,8.841176470588236,5.88235294117647,5.88235294117647,0.0,88.23529411764706,11.76470588235294,5.88235294117647,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,0.0,21.052631578947366,21.052631578947366,0.0,0,3,0,0,0,0,0
24,positive,1.6117647058823528,82.35294117647058,0.0,0.0,17.647058823529413,82.35294117647058,82.35294117647058,0.0,0.0,0.0,0.0,0.0,82.35294117647058,5.88235294117647,26.31578947368421,26.31578947368421,0.0,1,0,0,1,0,0,0
25,negative,6.841176470588235,29.411764705882355,0.0,5.88235294117647,64.70588235294117,29.411764705882355,29.411764705882355,0.0,0.0,0.0,0.0,0.0,23.52941176470588,5.88235294117647,21.052631578947366,21.052631578947366,0.0,0,4,0,0,0,0,0
26,negative,9.217647058823529,0.0,5.88235294117647,5.88235294117647,88.23529411764706,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,15.789473684210526,15.789473684210526,0.0,0,2,0,0,0,0,0
