dataset,ratio_evaluation,evaluation_method,feature_selection,learner,accuracy,f1_score,precision,recall,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
turma_1,1.0,xvalidation (k=10),anova (5),random_forest,0.8341463414634146,0.6344086021505376,0.686046511627907,0.59,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),knn,0.7317073170731707,0.4210526315789474,0.4444444444444444,0.4,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),tree,0.9024390243902439,0.7777777777777777,0.875,0.7,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),naive_bayes,0.7560975609756098,0.6428571428571429,0.5,0.9,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),logistic_regression,0.8780487804878049,0.7368421052631577,0.7777777777777778,0.7,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),neural_network,0.8634146341463415,0.7383177570093459,0.6929824561403509,0.79,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),gradient_boosting,0.9024390243902439,0.7777777777777777,0.875,0.7,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),svm,0.7317073170731707,0.3529411764705882,0.42857142857142855,0.3,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),random_forest,0.8107142857142857,0.5978755690440061,0.595166163141994,0.600609756097561,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),knn,0.7935714285714286,0.6002766251728907,0.5755968169761273,0.6271676300578035,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),tree,0.8357142857142857,0.6656976744186047,0.6580459770114943,0.6735294117647059,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),naive_bayes,0.7421428571428571,0.6105717367853291,0.4812925170068027,0.8348082595870207,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),logistic_regression,0.8771428571428571,0.7370030581039755,0.7415384615384616,0.7325227963525835,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),neural_network,0.8564285714285714,0.7140825035561877,0.6857923497267759,0.744807121661721,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),gradient_boosting,0.845,0.6707132018209409,0.6636636636636637,0.6779141104294478,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),svm,0.785,0.5024793388429752,0.5296167247386759,0.4779874213836478,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),random_forest,0.7846153846153846,0.5757575757575758,0.5277777777777778,0.6333333333333333,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),knn,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),tree,0.8461538461538461,0.5,1.0,0.3333333333333333,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),naive_bayes,0.7692307692307693,0.6666666666666666,0.5,1.0,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),logistic_regression,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),neural_network,0.8076923076923077,0.6666666666666667,0.5555555555555556,0.8333333333333334,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),gradient_boosting,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),svm,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (10),random_forest,0.8780487804878049,0.7368421052631577,0.7777777777777778,0.7,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,xvalidation (k=10),anova (10),knn,0.8292682926829268,0.631578947368421,0.6666666666666666,0.6,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,xvalidation (k=10),anova (10),tree,0.9024390243902439,0.8000000000000002,0.8,0.8,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,xvalidation (k=10),anova (10),naive_bayes,0.7317073170731707,0.6206896551724138,0.47368421052631576,0.9,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,xvalidation (k=10),anova (10),logistic_regression,0.9024390243902439,0.8000000000000002,0.8,0.8,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,xvalidation (k=10),anova (10),neural_network,0.8780487804878049,0.7368421052631577,0.7777777777777778,0.7,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,xvalidation (k=10),anova (10),gradient_boosting,0.8975609756097561,0.7741935483870969,0.8372093023255814,0.72,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,xvalidation (k=10),anova (10),svm,0.7317073170731707,0.3529411764705882,0.42857142857142855,0.3,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,"random (n=10, test=33%)",anova (10),random_forest,0.8521428571428571,0.6780715396578538,0.6987179487179487,0.6586102719033232,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,"random (n=10, test=33%)",anova (10),knn,0.8271428571428572,0.6572237960339944,0.6803519061583577,0.6356164383561644,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,"random (n=10, test=33%)",anova (10),tree,0.8607142857142858,0.7257383966244726,0.6666666666666666,0.7962962962962963,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,"random (n=10, test=33%)",anova (10),naive_bayes,0.7321428571428571,0.596340150699677,0.46243739565943237,0.8393939393939394,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,"random (n=10, test=33%)",anova (10),logistic_regression,0.8721428571428571,0.7496503496503497,0.7444444444444445,0.7549295774647887,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,"random (n=10, test=33%)",anova (10),neural_network,0.8592857142857143,0.706408345752608,0.7203647416413373,0.6929824561403509,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,"random (n=10, test=33%)",anova (10),gradient_boosting,0.8785714285714286,0.7424242424242423,0.805921052631579,0.6882022471910112,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,"random (n=10, test=33%)",anova (10),svm,0.7907142857142857,0.509212730318258,0.596078431372549,0.4444444444444444,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,holdout (33/67),anova (10),random_forest,0.8,0.606060606060606,0.5555555555555556,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,holdout (33/67),anova (10),knn,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,holdout (33/67),anova (10),tree,0.8461538461538461,0.5,1.0,0.3333333333333333,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,holdout (33/67),anova (10),naive_bayes,0.7692307692307693,0.6666666666666666,0.5,1.0,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,holdout (33/67),anova (10),logistic_regression,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,holdout (33/67),anova (10),neural_network,0.8153846153846154,0.6842105263157895,0.5652173913043478,0.8666666666666667,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,holdout (33/67),anova (10),gradient_boosting,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
turma_1,1.0,holdout (33/67),anova (10),svm,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_7_5_10
