dataset,ratio_evaluation,evaluation_method,feature_selection,learner,accuracy,f1_score,precision,recall,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
turma_1,1.0,xvalidation (k=10),anova (5),random_forest,0.8682926829268293,0.6966292134831461,0.7948717948717948,0.62,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),knn,0.7560975609756098,0.4444444444444445,0.5,0.4,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),tree,0.926829268292683,0.8421052631578948,0.8888888888888888,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),naive_bayes,0.7804878048780488,0.64,0.5333333333333333,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),logistic_regression,0.9512195121951219,0.888888888888889,1.0,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),neural_network,0.8780487804878049,0.761904761904762,0.7272727272727273,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),gradient_boosting,0.8804878048780488,0.743455497382199,0.7802197802197802,0.71,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),svm,0.7317073170731707,0.3529411764705882,0.42857142857142855,0.3,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",anova (5),random_forest,0.8522222222222222,0.6666666666666666,0.6584158415841584,0.6751269035532995,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",anova (5),knn,0.8088888888888889,0.5865384615384615,0.6069651741293532,0.5674418604651162,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,,,,,
