Dataset,Sample Method,Preprocessing,Learner,Recall,Precision,Accuracy,F1 Score
Turma 1,Random 20 80,None,Neural Network,0.53571,0.71429,0.78889,0.61224
Turma 1,Random 20 80,None,Random Forest,0.5,0.875,0.82222,0.63636
Turma 1,Random 20 80,None,Tree,0.60714,0.77273,0.82222,0.68
Turma 1,Random 20 80,None,kNN,0.25,0.77778,0.74444,0.37838
Turma 1,Random 20 80,None,Naive Bayes,0.89286,0.56818,0.75556,0.69444
Turma 1,Random 20 80,None,SVM,0.14286,1.0,0.73333,0.25
Turma 1,Random 20 80,None,Gradient Boosting,0.57143,0.8,0.82222,0.66667
Turma 1,Random 20 80,None,AdaBoost,0.53571,0.78947,0.81111,0.6383
Turma 1,Random 20 80,None,Logistic Regression,0.57143,0.72727,0.8,0.64
Turma 1,10 Fold,None,Neural Network,0.5,0.71429,0.82927,0.58824
Turma 1,10 Fold,None,Random Forest,0.4,0.57143,0.78049,0.47059
Turma 1,10 Fold,None,Tree,0.8,0.61538,0.82927,0.69565
Turma 1,10 Fold,None,kNN,0.3,0.375,0.70732,0.33333
Turma 1,10 Fold,None,Naive Bayes,0.9,0.42857,0.68293,0.58065
Turma 1,10 Fold,None,SVM,0.1,1.0,0.78049,0.18182
Turma 1,10 Fold,None,Gradient Boosting,0.5,0.45455,0.73171,0.47619
Turma 1,10 Fold,None,AdaBoost,0.7,0.58333,0.80488,0.63636
Turma 1,10 Fold,None,Logistic Regression,0.7,0.77778,0.87805,0.73684
Turma 2,10 Fold,None,Neural Network,0.9375,0.88235,0.93023,0.90909
Turma 2,10 Fold,None,Random Forest,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,None,Tree,0.875,0.875,0.90698,0.875
Turma 2,10 Fold,None,kNN,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,None,Naive Bayes,1.0,0.86486,0.94186,0.92754
Turma 2,10 Fold,None,SVM,0.875,0.93333,0.93023,0.90323
Turma 2,10 Fold,None,Gradient Boosting,0.90625,0.87879,0.9186,0.89231
Turma 2,10 Fold,None,AdaBoost,0.90625,0.87879,0.9186,0.89231
Turma 2,10 Fold,None,Logistic Regression,0.9375,0.88235,0.93023,0.90909
Turma 2,Random 20 80,None,Neural Network,0.97222,0.90909,0.95,0.9396
Turma 2,Random 20 80,None,Random Forest,0.91667,0.92958,0.93889,0.92308
Turma 2,Random 20 80,None,Tree,0.86111,0.93939,0.92222,0.89855
Turma 2,Random 20 80,None,kNN,0.95833,0.95833,0.96667,0.95833
Turma 2,Random 20 80,None,Naive Bayes,0.98611,0.8875,0.94444,0.93421
Turma 2,Random 20 80,None,SVM,0.90278,0.92857,0.93333,0.91549
Turma 2,Random 20 80,None,Gradient Boosting,0.875,0.92647,0.92222,0.9
Turma 2,Random 20 80,None,AdaBoost,0.875,0.91304,0.91667,0.89362
Turma 2,Random 20 80,None,Logistic Regression,0.875,0.9,0.91111,0.88732
Turma 1,Random 20 80,Info gain Top 10,Neural Network,0.46429,0.76471,0.78889,0.57778
Turma 1,Random 20 80,Info gain Top 10,Random Forest,0.28571,0.61538,0.72222,0.39024
Turma 1,Random 20 80,Info gain Top 10,Tree,0.5,0.73684,0.78889,0.59574
Turma 1,Random 20 80,Info gain Top 10,kNN,0.17857,0.625,0.71111,0.27778
Turma 1,Random 20 80,Info gain Top 10,Naive Bayes,0.85714,0.55814,0.74444,0.67606
Turma 1,Random 20 80,Info gain Top 10,SVM,0.03571,1.0,0.7,0.06897
Turma 1,Random 20 80,Info gain Top 10,Gradient Boosting,0.53571,0.68182,0.77778,0.6
Turma 1,Random 20 80,Info gain Top 10,AdaBoost,0.57143,0.64,0.76667,0.60377
Turma 1,Random 20 80,Info gain Top 10,Logistic Regression,0.60714,0.73913,0.81111,0.66667
Turma 1,Random 20 80,Gain ratio Top 10,Neural Network,0.5,0.82353,0.81111,0.62222
Turma 1,Random 20 80,Gain ratio Top 10,Random Forest,0.42857,0.85714,0.8,0.57143
Turma 1,Random 20 80,Gain ratio Top 10,Tree,0.5,0.73684,0.78889,0.59574
Turma 1,Random 20 80,Gain ratio Top 10,kNN,0.07143,0.4,0.67778,0.12121
Turma 1,Random 20 80,Gain ratio Top 10,Naive Bayes,0.82143,0.54762,0.73333,0.65714
Turma 1,Random 20 80,Gain ratio Top 10,SVM,0.07143,1.0,0.71111,0.13333
Turma 1,Random 20 80,Gain ratio Top 10,Gradient Boosting,0.53571,0.71429,0.78889,0.61224
Turma 1,Random 20 80,Gain ratio Top 10,AdaBoost,0.53571,0.71429,0.78889,0.61224
Turma 1,Random 20 80,Gain ratio Top 10,Logistic Regression,0.57143,0.72727,0.8,0.64
Turma 1,Random 20 80,ANOVA Top 10,Neural Network,0.39286,0.73333,0.76667,0.51163
Turma 1,Random 20 80,ANOVA Top 10,Random Forest,0.39286,0.64706,0.74444,0.48889
Turma 1,Random 20 80,ANOVA Top 10,Tree,0.64286,0.72,0.81111,0.67925
Turma 1,Random 20 80,ANOVA Top 10,kNN,0.10714,0.42857,0.67778,0.17143
