name,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,grades_above_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,classification,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3,sequencial_missing_4,sequencial_missing_5,sequencial_missing_6,sequencial_missing_9,sequencial_missing_12
1,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.695652173913043,3.8461538461538463,3.8461538461538463,0.0,0,positive,1,0,0,0,0,0,0,0
10,9.604347826086956,0.0,4.3478260869565215,0.0,95.65217391304348,4.3478260869565215,0.0,100.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,negative,2,1,0,0,0,0,0,0
11,2.165217391304348,73.91304347826086,4.3478260869565215,8.695652173913043,13.043478260869565,78.26086956521739,78.26086956521739,21.73913043478261,0.0,0.0,0.0,0.0,0.0,60.86956521739131,8.695652173913043,23.076923076923077,23.076923076923077,0.0,0,positive,2,2,0,0,0,0,0,0
12,7.052173913043479,17.391304347826086,13.043478260869565,13.043478260869565,56.52173913043478,30.434782608695656,30.434782608695656,69.56521739130434,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,19.230769230769234,19.230769230769234,0.0,0,negative,3,1,0,0,0,0,0,0
13,8.356521739130436,13.043478260869565,4.3478260869565215,0.0,82.6086956521739,17.391304347826086,13.043478260869565,86.95652173913044,0.0,0.0,0.0,0.0,0.0,13.043478260869565,8.695652173913043,7.6923076923076925,7.6923076923076925,0.0,0,negative,2,0,0,0,0,0,0,0
14,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.695652173913043,76.92307692307693,76.92307692307693,0.0,2,positive,0,0,0,0,1,0,0,1
15,4.6347826086956525,43.47826086956522,13.043478260869565,4.3478260869565215,39.130434782608695,56.52173913043478,47.82608695652174,52.17391304347826,0.0,0.0,0.0,0.0,8.695652173913043,39.130434782608695,0.0,26.923076923076923,26.923076923076923,0.0,1,negative,1,1,0,1,0,0,0,0
16,7.195652173913044,26.08695652173913,0.0,0.0,73.91304347826086,26.08695652173913,26.08695652173913,73.91304347826086,0.0,0.0,0.0,0.0,0.0,13.043478260869565,8.695652173913043,7.6923076923076925,7.6923076923076925,0.0,0,negative,2,0,0,0,0,0,0,0
17,8.395652173913044,13.043478260869565,0.0,13.043478260869565,73.91304347826086,13.043478260869565,13.043478260869565,86.95652173913044,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,11.538461538461538,11.538461538461538,0.0,0,negative,3,0,0,0,0,0,0,0
18,2.5869565217391304,73.91304347826086,0.0,0.0,26.08695652173913,73.91304347826086,73.91304347826086,26.08695652173913,0.0,0.0,0.0,0.0,0.0,73.91304347826086,8.695652173913043,23.076923076923077,23.076923076923077,0.0,0,positive,4,1,0,0,0,0,0,0
